|frequency_rank|speech_part|word_german|word_english|sentence_german|sentence_english
165|132|erst|adv|first, only, not until|Erst solltest du deine Eltern fragen.|First you should ask your parents.
166|132|erst|part||Jetzt geht es erst richtig los!|It’s just beginning!
171|137|natürlich|adj|natural|Ich beobachte wilde Tiere in ihrer natürlichen Umgebung.|I observe wild animals in their natural environment.
172|137|natürlich|adv|naturally, of course|Natürlich vermisse ich dich.|Of course I miss you.
180|145|vielleicht|adv|perhaps, maybe|Vielleicht gibt es noch einen anderen Weg.|Maybe there’s another way.
181|145|vielleicht|part||Du kannst vielleicht laut sein!|You can be quite loud!
187|151|eigentlich|adj|actual, real|Steffen ist der eigentliche Chef der Firma, aber er ist selten da.|Steffen is the real boss of the company, but he’s rarely there.
188|151|eigentlich|adv|actually|Eigentlich mag ich kein Eis, aber ich esse es trotzdem.|Actually, I don’t like ice cream, but I eat it anyway.
189|151|eigentlich|part||Was studiert deine Schwester eigentlich genau?|What exactly is your sister studying?
197|159|gerade|adj|straight|Ich überhole nur auf einer geraden Strecke.|I only pass other cars on a straight stretch.
198|159|gerade|adv|just, just now, right now|Das Geschäft schließt gerade.|The store is closing right now.
208|169|spät|adj|late|Es ist schon spät.|It’s getting late.
209|169|spät|adj|later|Ich komme später zu dir.|I’ll be coming over later.
211|171|möglich|adj|possible|Ich besuche meine Eltern so oft wie möglich.|I visit my parents as often as possible.
212|171|möglich|adv|as . . . as possible, if possible|Die Aufgabe soll möglichst schnell erledigt werden.|The task should be completed as quickly as possible.
214|173|während|conj|while, whereas|Luisa arbeitet, während er das Essen vorbereitet.|Luisa is working while he is preparing the food.
215|173|während|prep|during, while|Während man isst, soll man nicht reden.|You shouldn’t talk while you’re eating.
223|181|etwa|adv|about, approximately|Die Führung dauert etwa eine Stunde.|The tour lasts about one hour.
224|181|etwa|part|after all|Hat er etwa noch nicht angerufen?|He hasn’t called yet after all?
232|189|wirklich|adj|real, actual|Sein Besuch ist eine wirkliche Überraschung.|His visit is a real surprise.
233|189|wirklich|adv|really, actually|Ich mag dich wirklich gern.|I really like you.
240|196|eben, ebend|adv|just, now|Ich versuche, ihn eben auf dem Handy zu erreichen.|I am just trying to reach him on his mobile phone.
241|196|eben, ebend|part||Das kann man eben nicht ändern.|There’s nothing you can do about it.
273|228|setzen, setzt, setzte, hat gesetzt|verb|to set, place, put|Er setzt das Kind auf den Stuhl.|He puts the child in the chair.
274|228|setzen, setzt, setzte, hat gesetzt|verb|to sit down|Bitte setzen Sie sich.|Please sit down.
287|241|das Paar, -e|das|pair, couple|Zwei Schuhe machen ein Paar.|Two shoes make a pair.
288|241|das Paar, -e|pron|a few|Wir brauchen dafür nur ein paar Minuten.|We only need a few minutes for that.
289|242|das Recht, -e|adj|all right|Deine Idee ist mir recht.|I’m fine with your idea.
290|242|das Recht, -e|das|right, law|Menschen haben Rechte.|People have rights.
291|242|das Recht, -e|part|rather, quite|Das Zimmer ist recht klein.|The room is quite small.
310|261|wohl|adv|well|Er fühlt sich wohl.|He feels well.
311|261|wohl|part|probably|Es ist wohl besser, wenn er geht.|It’s probably better if he leaves.
340|290|der Wert, -e|adj|worth|Eine gute Arbeit ist viel wert.|A good job is worth a lot.
341|290|der Wert, -e|der|value|Du musst den Wert des Geldes kennen.|You must know the value of money.
347|296|rund|adj|round|Ein Fußball ist rund.|A soccer ball is round.
348|296|rund|adv|approximately|In Berlin leben rund drei Millionen Menschen.|Approximately three million people live in Berlin.
364|312|je|adv|ever, each|Das kostet vier Euro je Stück.|That costs four euros each.
365|312|je|conj|the more|Je später ich ins Bett gehe, desto müder bin ich am Morgen.|The later I go to bed, the more tired I am in the morning.
378|325|die Nacht, -̈e|adv|at night, nights|Ich arbeite immer nur nachts.|I only work nights.
379|325|die Nacht, -̈e|die|night|Die Nacht ist dunkel und grau.|The night is dark and gray.
396|342|der Abend, -e|adv|in the evening|Abends lese ich meinem Kind immer eine Geschichte vor.|I always read my child a story in the evening.
397|342|der Abend, -e|der|evening|Wir gehen morgen Abend ins Kino.|We’re going to the movies tomorrow evening.
467|412|pro|das|pro|Das Pro an dem Haus sind die vielen Fenster.|The pro of the house is the many windows.
468|412|pro|prep|per|Sie verdienen zwölf Euro pro Stunde.|They earn twelve euros per hour.
536|480|nahe, nah|adj|near(by), close|Der Weg führt zu dem nahen Wald.|The path leads to the nearby forest.
537|480|nahe, nah|prep|near, close to|Nah der Stadt gibt es ein Schloss.|Near the city is a castle.
550|493|wahrscheinlich|adj|likely, probable|Das ist möglich, aber nicht sehr wahrscheinlich.|It’s possible, but not very likely.
551|493|wahrscheinlich|adv|probably, likely|Wissenschaftler sagen, dass es wahrscheinlich ein trockener Sommer wird.|Scientists say it will probably be a dry summer.
661|603|verhalten|das|behavior|Wissenschaftlerinnen untersuchen das Verhalten von Hunden.|Scientists study the behavior of dogs.
662|603|verhalten|verb|to behave, act|Du verhältst dich wie ein Kind.|You’re behaving like a child.
680|621|der Morgen, -|adv|in the morning|Morgens geht die Sonne auf.|The sun rises in the morning.
681|621|der Morgen, -|der|morning|Bei uns gibt es jeden Morgen Frühstück.|We have breakfast every morning.
689|629|okay|adj|okay|Ist es okay, wenn wir “du” sagen?|Is it okay if we say “you”?
690|629|okay|das|okay|Ich habe das Okay meiner Eltern bekommen.|I got my parents’ okay.
715|654|auftreten, tritt auf, trat auf, ist aufgetreten|das|behavior, conduct, occurrence, appearance|Sein Auftreten ist nicht angemessen.|His behavior is not appropriate.
716|654|auftreten, tritt auf, trat auf, ist aufgetreten|verb|to appear, occur|Während der Vorlesung treten technische Probleme auf.|Technical problems occur during the lecture.
724|662|englisch|adj|English|Frank macht sich ein englisches Frühstück.|Frank’s making himself an English breakfast.
725|662|englisch|das|English|Leider spricht sie kein Englisch.|Unfortunately, she doesn’t speak English.
804|741|bloß|adj|bare, mere|Ihre bloße Anwesenheit macht mich nervös.|Her mere presence makes me nervous.
805|741|bloß|adv|only, simply, just|Ich denke bloß an meine Prüfungen.|I’m just thinking about my exams.
826|762|schlimm|adj|bad, serious|Es ist schlimm für die Familie, dass der Vater tot ist.|It’s bad for the family that the father is dead.
827|762|schlimm|adj|worse|Nach der Operation sind die Schmerzen schlimmer als davor.|After the surgery, the pain is worse than before.
872|807|lächeln, lächelt, lächelte, hat gelächelt|das|smile|Das Lächeln von Ute ist sehr schön.|Ute’s smile is very beautiful.
873|807|lächeln, lächelt, lächelte, hat gelächelt|verb|to smile|Alle Kinder lächeln auf dem Foto, weil sie sich freuen.|All the children smile in the photo because they are happy.
882|816|französisch|adj|French|Sie mögen französische Filme.|They like French movies.
883|816|französisch|das|French|Französisch wird in vielen Ländern Afrikas gesprochen.|French is spoken in many African countries.
898|831|russisch|adj|Russian|Anna liest gern russische Literatur.|Anna likes to read Russian literature.
899|831|russisch|das|Russian|Sie lernen Russisch an der Universität.|They learn Russian at the university.
1041|973|schweigen, schweigt, schwieg, hat geschwiegen|das|silence|Das Schweigen im Raum ist unerträglich.|The silence in the room is unbearable.
