|lemma|lemma_correct
1760.0|warten|warten
1786.0|brauchen|brauchen
1788.0|Blume|die Blume
1797.0|normal|normal
1799.0|Liebe|die Liebe
1809.0|Röte|die Röte
1816.0|Tag|der Tag
1816.001|Tag|das Tag
1820.0|Körper|der Körper
1824.0|Schule|die Schule
1827.0|Straße|die Straße
1836.0|irgendwer|irgendwer
1837.0|begutachten|begutachten
1839.0|Ware|die Ware
1841.0|vorbeigehen|vorbeigehen
1844.0|einteilen|einteilen
1848.0|hässlich|hässlich
1853.0|Verlauf|der Verlauf
1856.0|sexuell|sexuell
1857.0|belästigen|belästigen
1863.0|Armlänge|Armlänge
1864.0|Abstand|der Abstand
1867.0|empfehlen|empfehlen
1871.0|der Vater|der Vater
1873.0|der Sohn|der Sohn
1876.0|bevor|bevor
1879.0|berühren|berühren
1880.0|erstmal|erstmal
1881.0|höflich|höflich
1887.0|Erfahrung|die Erfahrung
1889.0|Vater|der Vater
1891.0|Tochter|die Tochter
1896.0|der Meister|der Meister
1897.0|Rapper|der Rapper
1906.0|Liebeslied|das Liebeslied
1917.0|Scheiße|die Scheiße
1920.0|Windel|die Windel
1921.0|wechseln|wechseln
2042.0|Fest|das Fest
2046.0|kennen|kennen
2050.0|Gast|der Gast
2052.0|prominent|prominent
2058.0|reinkommen|reinkommen
2059.0|rein|rein
2062.0|Häppchen|das Häppchen
2064.0|Champagner|der Champagner
2066.0|eiskalt|eiskalt
2067.0|Wein|der Wein
2069.0|mitfeiern|mitfeiern
2070.0|dürfen|dürfen
2076.0|kritisch|kritisch
2078.0|Türpolitik|Türpolitik
2080.0|unpolitisch|unpolitisch
2086.0|je|je
2095.0|marschieren|marschieren
2111.0|Willkommen|das Willkommen
2112.0|Herr|der Herr
2114.0|eintreten|eintreten
2117.0|zuerst|zuerst
2120.0|Saal|der Saal
2125.0|lachen|lachen
2146.0|ok|ok
2151.0|schade|schade
2154.0|Buffet|das Buffet
2157.0|fünf|fünf
2159.0|zwölf|zwölf
2163.0|Spaß|der Spaß
2165.0|senken|senken
2167.0|Blick|der Blick
2169.0|erheben|erheben
2171.0|Glas|das Glas
2172.0|Licht|das Licht
2181.0|wegschauen|wegschauen
2228.0|heut|heut
2234.0|unser|unser
2239.0|Demokrat|der Demokrat
2243.0|Rassist|der Rassist
2253.0|krank|krank
2256.0|Täter|der Täter
2258.0|Opfer|das Opfer
2260.0|Anne|Anne
