|word|lemma
3665|Sebastian|Sebastian
3668|Popstarleben|das Popstarleben
3703|Bohlen|Bohlen
3708|Helicobacter|der Helicobacter
3709|ad|ad
3710|acta|die Acta
3719|Tesa|das Tesa
3735|mmh|mmh
3742|Koljah|Koljah
3744|Kindheitsidole|die Kindheitsidole
3747|Deep|deep
3749|Realtalk|der Realtalk
3750|survival|das Survival
3755|Rühmann|Rühmann
3756|Kiesinger|Kiesinger
3757|Filbinger|Filbinger
3762|Fler|Fler
3771|Freshness|die Freshness
3774|Dörte|Dörte
3788|Fletcher|Fletcher
3790|broke|broke
3793|Car2Go|Car2Go
3796|Bahnhofsklo|das Bahnhofsklo
3799|Iminari|Iminari
3803|Dodge-Van|der Dodge-Van
3804|Rallye-Sitz|der Rallye-Sitz
3806|Pretzelstick|der Pretzelstick
3808|Patti|Patti
3809|Smith|Smith
3810|Fashion-Tipp|der Fashion-Tipp
3812|Hartz-Vier-Support|der Hartz-Vier-Support
3813|Florida-Rolf|Florida-Rolf
3814|Beach-Resort|das Beach-Resort
3815|Tourbus|der Tourbus
3819|Ouija-Board|das Ouija-Board
3827|nahkommen|nahkommen
3829|Signing|das Signing
3832|Cardio-Training|das Cardio-Training
3833|Farid|Farid
3834|Hobby-Rapper|der Hobby-Rapper
3835|Insolvenzverschlepper|der Insolvenzverschlepper
3836|ala|ala
3837|Boris|Boris
3838|Becker|Becker
3842|Splash|der Splash
3845|Düsseldorf|Düsseldorf
3850|NRW-Verbot|das NRW-Verbot
3855|Senfglas|das Senfglas
3865|Pana|Pana
3866|Cotta|Cotta
3867|Tomate-Mozzarella|die Tomate-Mozzarella
3870|Designermöbel|das Designermöbel
3880|Mh|mh
3887|Rotweinschorle|die Rotweinschorle
3888|tupperen|tuppern
3896|Buffet-et-et-et|das Buffet-et-et-et
3901|Beate|Beate
3903|isn|ist
3906|Daniela|Daniela
3907|Jonas|Jonas
3908|Vanessa|Vanessa
3909|Lars|Lars
3910|Melanie|Melanie
3912|Tim|Tim
3914|Jennifer|Jennifer
3917|Kevin|Kevin
3918|Tobias|Tobias
3920|Annika|Annika
3925|Hagen|Hagen
3926|Sven|Sven
3928|Christopher|Christopher
3930|Yannick|Yannick
3932|Björn|Björn
3933|Jochen|Jochen
3937|Nils|Nils
3941|Felix|Felix
3942|Thorsten|Thorsten
3943|Alexander|Alexander
3954|Bifi|die Bifi
3958|Koberind|das Koberind
3965|Kippenstummel|der Kippenstummel
3971|Ölfabrik|die Ölfabrik
3977|nem|einem
3986|Plastikhülle|die Plastikhülle
3988|Mediamarkt|der Mediamarkt
3990|Beachhotel|das Beachhotel
3991|Jutta|Jutta
4009|Boomerang|der Boomerang
4029|biertrinkend|biertrinken
4055|Pegida|Pegida
4056|IB|IB
4061|Detailverliebter|der Detailverliebte
4062|Cyber-Geek|der Cyber-Geek
4064|bye-bye|bye-bye
4065|Habeda-habeda-habeda-habeda|Habeda-habeda-habeda-habeda
4066|Smalltalk-Thema|das Smalltalk-Thema
4075|Riesenkatalog|der Riesenkatalog
4078|Lieblingspharao|der Lieblingspharao
4079|Doh|doh
4080|Komplimentespeicher|der Komplimentespeicher
4083|Albe|die Albe
4084|Amon|Amon
4085|Amarth|Amarth
4090|YouTube-Kacke|die YouTube-Kacke
4091|Soos|Soos
4092|Tanzbewegung|die Tanzbewegung
4093|Gedächtniskonto|das Gedächtniskonto
4095|Hüah|hüah
4096|Tekken-Combo|die Tekken-Combo
4098|Steve-Urkel-artig|Steve-Urkel-artig
4099|Nerdgehabe|das Nerdgehabe
4113|Reimkette|die Reimkette
4114|Habeda-habeda-habeda-habeda-habeda-habeda-habeda-habeda-ah|Habeda-habeda-habeda-habeda-habeda-habeda-habeda-habeda-ah
4116|Habeda-habeda-habeda-habeda-hi|Habeda-habeda-habeda-habeda-hi
4117|Krankheitsstadium|das Krankheitsstadium
4122|Sergio-Leone-Film|der Sergio-Leone-Film
4123|Social|social
4124|Skills|die Skills
4127|VICE-Artikel|der VICE-Artikel
4129|Reisetrip|der Reisetrip
4133|Eilandklippe|die Eilandklippe
4135|Haiangriffe|die Haiangriffe
4136|entwissen|entwissen
4148|Nachdenkfalte|die Nachdenkfalte
4150|Haarespalte|die Haarespalte
4152|bye|bye
4184|2015|zweitausendfünfzehn
4189|Bowlingkugel|die Bowlingkugel
4196|koffeingetränkt|koffeingetränkt
4217|schläfen|die Schläfen
4219|Gerechtigkeitskrieger-Twitterbubble|die Gerechtigkeitskrieger-Twitterbubble
4221|Anarchie-Emblem|das Anarchie-Emblem
4226|Servicelächeln|das Servicelächeln
4229|Soundeffekt|der Soundeffekt
4245|Niveaugefälle|das Niveaugefälle
4249|Victoria-Gymnasium|das Victoria-Gymnasium
4250|Aachen|Aachen
4252|Wikipedia|die Wikipedia
4257|Geschädigten|die Geschädigten
4280|Repressalienapparat|der Repressalienapparat
4293|Rap-Musik|die Rap-Musik
4304|andrer|anderer
4307|Schlaue|der Schlaue
4336|Heidi|Heidi
4337|Klum|Klum
4339|wiren|wären
4343|Sowas|so etwas
4359|rumgehen|rumgehen
4368|Madelaine|Madelaine
4369|Saint-Denis|Saint-Denis
4394|zuhaus|zu Hause
4396|Letztes|letzter
4397|irgendner|irgendeiner
4403|ch|ch
4415|85|fünfundachtzig
4419|Ohrenrauschen|das Ohrenrauschen
4424|Kotze-Tüte|die Kotze-Tüte
4425|Eins-Komma-Neun-Tausend|eins Komma neuntausend
4426|Neutrophil|das Neutrophil
4428|bitch|bitch
4432|sinds|sind
4441|Jobauswahl|die Jobauswahl
4446|Antifa-Tarifvertrag|der Antifa-Tarifvertrag
4449|Demogeld|das Demogeld
4450|einiger|einiger
4471|G20|G20
4500|dream|dream
4501|longwhile|longwhile
4511|Aleppo|Aleppo
4518|Moin|Moin
4527|allerbester|allerbester
4543|Absolute|die Absolute
4544|Wahnsinnsshow|die Wahnsinnsshow
4551|UNICEF|UNICEF
4554|Mulinex|Mulinex
4575|Flehen|das Flehen
4583|Mitten|die Mitten
4598|Ausländerschwein|das Ausländerschwein
4605|unsrem|unserem
4609|Anne|Anne
4614|Nazi-Lachen|das Nazi-Lachen
4616|Bürgerschweigen|das Bürgerschweigen
4641|Twitter|Twitter
4653|Para-das|Para-das
4654|Para-Militär|das Para-Militär
4658|Red|Red
4663|Fakenew|Fake-News
4669|häh|häh
4670|Filterbubble|die Filterbubble
4672|Mose|Mose
4675|unkapierbar|unkapierbar
4677|untherapierbar|untherapierbar
4678|einhundertmal|einhundertmal
4680|Kreislabor|das Kreislabor
4681|Ladies|Ladies
4682|Gentlemen|die Gentlemen
4683|Huh|Huh
4686|Hu|Hu
4687|Huhh|Huhh
4689|gefangener|der Gefangener
4693|entdeckend|entdeckend
4697|weckend|weckend
4700|Innen|das Innen
4712|ABCDEFGHIJKLMNOPQRSTUVWXYZ|ABCDEFGHIJKLMNOPQRSTUVWXYZ
4715|Hä|Hä
4719|moonwalken|moonwalken
4727|falschrum|falschrum
4733|Peng|Peng
4736|Darth|Darth
4737|Vader|Vader
4743|Colibakterium|das Colibakterium
4748|Höchste|höchste
4749|Mozart|Mozart
4791|erlischen|erlischen
4803|Cyclisches|cyclisch
4816|Hitler|Hitler
4820|141592|einhundertvierzigtausendfünfhundertzweiundneunzig
4821|653|sechshundertdreiundfünfzig
4822|589|fünfhundertneunundachtzig
4823|793|siebenhundertdreiundneunzig
4824|238462|zweihundertachtunddreißigtausendvierhundertzweiundsechzig
4825|64|vierundsechzig
4842|7950288419|sieben Milliarden neunhundertfünfzig Millionen zweihundertachtundachtzigtausendvierhundertneunzehn
4843|71693993751|siebzig Milliarden sechshundertneununddreißig Millionen neunhundertdreiundneunzigtausendsiebenhunderteinundfünfzig
4844|05820974944|fünf Milliarden achthundertzwanzig Millionen neunhundertvierundneunzigtausendvierhundertvierundvierzig
4845|5923078164|fünfhundertneunundzwanzig Millionen dreiundsiebzigtausendeinhundertvierundsechzig
4882|Männerbestand|der Männerbestand
4883|Hirnrückwand|die Hirnrückwand
4886|Ali|Ali
4892|Gehörschaden|der Gehörschaden
4895|oh-oh|oh-oh
4896|Bässe|die Bässe
4905|Vodka-Mate|die Vodka-Mate
4909|rumliegen|rumliegen
4911|Lichtenberg|Lichtenberg
4920|Alex|Alex
4941|Durchschnittsmenge|die Durchschnittsmenge
4943|Mittelaltermarkt|der Mittelaltermarkt
4944|Plastikschild|das Plastikschild
4965|Hörner|die Hörner
4968|Pappmasché|das Pappmasché
4993|mh|mh
4994|Sechster|der Sechste
4996|Grüße|die Grüße
5001|Spiderman-Dress|der Spiderman-Dress
5004|Dat|das Dat
5010|schonmal|schonmal
5015|ooh|ooh
5028|Shneezin|shneezin
5030|Kartentrick|der Kartentrick
5036|Armstrong|Armstrong
5042|ihrn|ihrn
5043|FOMO|FOMO
5047|Billiе|Billie
5056|Potsdam|Potsdam
5057|Wannseekonferenz|die Wannseekonferenz
5059|Beckenbauer|Beckenbauer
5060|Bubatz|das Bubatz
5062|Raab|Raab
5063|Oasis|Oasis
5065|Mockridge|Mockridge
5069|Selenskyj|Selenskyj
5070|Putin|Putin
5075|Höcke|Höcke
5079|Breakdown|der Breakdown
5080|Schockmeldung|die Schockmeldung
5087|Spiderman|Spiderman
5089|Tagteam|das Tagteam
5091|shit|shit
5092|same|same
5093|Great|great
5095|great|great
5101|Angels|die Angels
5102|deserve|deserve
5103|To|to
5105|Service-Line|die Service-Line
5106|Rotweinglas|das Rotweinglas
5108|Leon|Leon
5110|Catfish|Catfish
5120|Bodycount|der Bodycount
5129|Justus-|Justus
5130|Maximilian|Maximilian
5132|Patek|Patek
5133|Philippe|Philippe
5135|dies-der|dies-der
5136|FC|der FC
5138|München|München
5140|Milli|Milli
5146|Hallelujah|Hallelujah
5166|findster|findster
5170|Mom|Mom
5194|Wärs|wären
5203|Unanständiges|das Unanständige
5224|totgeschlagen|totgeschlagen
5227|Oettinger|Oettinger
5230|Schaschliksauce|die Schaschliksauce
5232|Oww|Oww
5235|Schillerallee|die Schillerallee
5238|höchstgefährlich|höchstgefährlich
5241|Tittenheftchen|das Tittenheftchen
5242|Arschritze|die Arschritze
5246|Wahres|das Wahre
5250|Begreifen|das Begreifen
5251|High-Class|High-Class
