|lemma|lemma_correct
777.0|fragen|
778.0|Chorus|
779.0|Sandmann|der Sandmann
780.0|Mach|das Mach
781.0|Wahrheit|die Wahrheit
782.0|grausam|
784.0|Streu|die Streu
785.0|Sand|der Sand
788.0|Arme|die Arme
789.0|langsam|
790.0|Hund|der Hund
791.0|Reich|das Reich
792.0|wann|
793.0|Spaß|der Spaß
794.0|vergehen|
798.0|Lunge|die Lunge
799.0|wund|
800.0|Hunger|der Hunger
801.0|Kindermund|der Kindermund
802.0|sitzen|
803.0|eigen|
804.0|Boot|das Boot
804.1||der Boot
805.0|Wohlstand|der Wohlstand
806.0|Brut|die Brut
808.0|brauchen|
810.0|davon|
812.0|zehnmal|
813.0|gut|
814.0|zuwenig|
815.0|Hab|
816.0|wozu|
817.0|Verzicht|der Verzicht
818.0|zwar|
819.0|reichen|
820.0|Bescheidenheit|die Bescheidenheit
821.0|recht|
822.0|nehmen|
823.0|schlecht|
825.0|zufrieden|
828.0|zuviel|
829.0|all|
830.0|Haben|das Haben
833.0|All|das All
834.0|zerfallen|
835.0|Krise|die Krise
836.0|Krieg|der Krieg
837.0|Biene|die Biene
838.0|Terror|der Terror
841.0|Pole|der Pole
841.1||die Pole
842.0|schmelzen|
843.0|Regierung|die Regierung
844.0|Grenze|die Grenze
845.0|dicht|
847.0|singen|
848.0|Europa|die Europa
849.0|rechts|
850.0|rücken|
851.0|echt|
852.0|verrückt|
853.0|Leute|
854.0|nötig|
855.0|Frieden|der Frieden
856.0|möglich|
857.0|Ah|
858.0|yeah|
859.0|Gleiche|
860.0|beweisen|
861.0|klingeln|
862.0|Lieferant|der Lieferant
863.0|dampfen|
864.0|Symbol|das Symbol
866.0|Hoffnung|die Hoffnung
867.0|Scheibe|die Scheibe
868.0|Weisheit|die Weisheit
869.0|Menschheit|die Menschheit
870.0|gebacken|
871.0|Teig|der Teig
872.0|fest|
873.0|daran|
874.0|Pizza|die Pizza
875.0|retten|
876.0|verbünden|
877.0|Baby|das Baby
878.0|bestellen|
879.0|Revolutionär|der Revolutionär
880.0|Gewehr|das Gewehr
881.0|Herkunft|die Herkunft
882.0|Hautfarbe|die Hautfarbe
883.0|Religion|die Religion
884.0|Hauptsache|die Hauptsache
885.0|dünn|
886.0|Tomatensoße|die Tomatensoße
887.0|Käse|der Käse
888.0|grade|
889.0|zuleide|
890.0|Kontinent|der Kontinent
891.0|Kultur|die Kultur
893.0|sowas|
894.0|Pendant|das Pendant
895.0|dazu|
898.0|Schickeria|die Schickeria
899.0|Pizzeria|die Pizzeria
901.0|Parole|die Parole
902.0|Wand|die Wand
905.0|Hoch|das Hoch
907.0|Flamme|die Flamme
909.0|Problem|das Problem
912.0|tiefgekühlt|
913.0|wunderbar|
914.0|Wurfgeschoss|das Wurfgeschoss
915.0|erwischen|
916.0|Gerichtssaal|der Gerichtssaal
918.0|Richter|der Richter
919.0|bestechen|
920.0|klappen|
921.0|die Fähre|die Fähre
922.0|Knast|der Knast
923.0|einfach|
924.0|Feile|die Feile
925.0|backen|
926.0|Mittel|das Mittel
926.1||die Mittel
927.0|Staat|der Staat
929.0|bitte|
930.0|Oregano|der Oregano
931.0|würzen|
933.0|neulich|
934.0|lange|
935.0|her|
936.0|treffen|
937.0|sehr|
938.0|Dame|die Dame
939.0|sagen|
941.0|Name|der Name
942.0|wunderschön|
947.0|Moment|der Moment
947.1||das Moment
948.0|akzeptieren|
949.0|drüber|
950.0|diskutieren|
952.0|genieren|
953.0|probieren|
954.0|verführen|
955.0|kapieren|
956.0|n|
957.0|Frau|die Frau
958.0|nee|
959.0|Niere|die Niere
961.0|provozieren|
962.0|Starallüre|
963.0|blind|
966.0|zwei|
967.0|Bier|das Bier
970.0|massieren|
972.0|Liege|die Liege
974.0|Schrippe|die Schrippe
975.0|Stulle|die Stulle
976.0|Lampe|die Lampe
977.0|danach|
979.0|also|
981.0|ok|
982.0|He|
984.0|wirklich|
985.0|Magen|der Magen
986.0|Sommer|der Sommer
987.0|mitbringen|
988.0|außerdem|
990.0|tschüß|
992.0|willen|
993.0|Ghetto|das Ghetto
993.1||der Ghetto
995.0|Alter|der Alter
995.1||das Alter
997.0|Schlaf|der Schlaf
998.0|etwas|
1000.0|Fliese|die Fliese
1001.0|Modergeruch|der Modergeruch
1002.0|Leichentuch|das Leichentuch
1005.0|schmerzen|
1007.0|Henker|der Henker
1008.0|Rosenkranz|der Rosenkranz
1009.0|vergessen|
1010.0|essen|
1011.0|Leichenhalle|die Leichenhalle
1012.0|Lage|die Lage
1013.0|fatal|
1014.0|Schminke|die Schminke
1015.0|Kajal|der Kajal
1015.1||das Kajal
1016.0|Todesengel|der Todesengel
1017.0|Kuss|der Kuss
1018.0|drücken|
1019.0|spitz|
1020.0|Schuh|der Schuh
1021.0|Drudenfuß|der Drudenfuß
1022.0|beisammen|
1023.0|Leiche|die Leiche
1024.0|herum|
1025.0|frisch|
1029.0|Ach|das Ach
1031.0|Fick|der Fick
1035.0|fehlen|
1036.0|ihm|
1037.0|Schopf|der Schopf
1038.0|prächtig|
1040.0|Fräulein|das Fräulein
1042.0|Liebeskunst|die Liebeskunst
1043.0|bekannt|
1044.0|Ort|der Ort
1044.1||das Ort
1045.0|fort|
1046.0|der G-Punkt|der G-Punkt
1048.0|I|das I
1049.0|m|
1053.0|a|
1055.0|der Zyklus|der Zyklus
1058.0|happy|
1062.0|übrig|
1069.0|verkommen|
1070.0|verbiegen|
1072.0|Wind|der Wind
1073.0|wehen|
1074.0|leise|
1075.0|Meer|das Meer
1076.0|Berg|der Berg
1077.0|der Kunde|der Kunde
1077.1||die Kunde
1078.0|Afrika|
1079.0|A|das A
1092.0|dry|
1095.0|falls|
1098.0|oberhalb|
1104.0|love|
