|lemma|lemma_correct
25893.0|unbequem|unbequem
25903.0|Dreirad|das Dreirad
25905.0|Sagen|das Sagen
25921.0|dazwischen|dazwischen
25924.0|Streitkultur|die Streitkultur
25929.0|gelten|gelten
25941.0|Unentschieden|das Unentschieden
25945.0|unentschlossen|unentschlossen
25946.0|Achtung|die Achtung
25947.0|Schenkelklopfer|der Schenkelklopfer
25953.0|Wahlkabine|die Wahlkabine
25955.0|Campingkocher|Campingkocher
25960.0|Huhn|das Huhn
25966.0|Hooligan|der Hooligan
25969.0|Fusel|der Fusel
25970.0|Arznei|die Arznei
25972.0|husten|husten
25976.0|Türkei|die Türkei
25982.0|Partei|die Partei
25996.0|Versuch|der Versuch
26013.0|wechselhaft|wechselhaft
26025.0|Konterbier|Konterbier
26026.0|exen|exen
26033.0|Pro|die Pro
26033.001|Pro|der Pro
26033.002|Pro|das Pro
26035.0|Contra|Contra
26044.0|langwierig|langwierig
26045.0|kompliziert|kompliziert
26055.0|Aufstand|der Aufstand
26058.0|Umstand|der Umstand
26064.0|abwaschbar|abwaschbar
26066.0|BMW|der BMW
26116.0|Verbrecher|der Verbrecher
26123.0|Meinungsfreiheit|die Meinungsfreiheit
26132.0|enthalten|enthalten
26149.0|Geschenk|das Geschenk
26161.0|Mittelfinger|der Mittelfinger
26167.0|Gewehr|das Gewehr
26169.0|Hase|der Hase
26169.001|Hase|die Hase
26173.0|Komet|der Komet
26175.0|Krater|der Krater
26181.0|Stereoanlage|die Stereoanlage
26182.0|Bel|Bel
26183.0|Air|das Air
26183.001|Air|die Air
26185.0|Harlem|Harlem
26186.0|Kommerz|Kommerz
26188.0|Marx|Marx
26191.0|Vernunft|die Vernunft
26192.0|Militär|das Militär
26192.001|Militär|der Militär
26202.0|bekennen|bekennen
26210.0|bunt|bunt
26215.0|Kommentar|der Kommentar
26222.0|Schlusssatz|der Schlusssatz
26228.0|jucken|jucken
26232.0|tolerieren|tolerieren
26235.0|kaputt|kaputt
26352.0|Piranha|der Piranha
26361.0|Anja|Anja
26375.0|schlank|schlank
26376.0|Taille|die Taille
26379.0|Medaille|die Medaille
26405.0|Trophäe|die Trophäe
26413.0|Vitrine|die Vitrine
26447.0|Netzwerk|das Netzwerk
26474.0|abholen|abholen
26478.0|Kellner|der Kellner
26486.0|Gruß|der Gruß
26585.0|Raum|der Raum
26588.0|Torte|die Torte
26690.0|Karosse|die Karosse
26700.0|verwöhnen|verwöhnen
26716.0|verängstigen|verängstigen
26728.0|fertig|fertig
26750.0|Dauerschleife|Dauerschleife
26754.0|Grill|der Grill
26757.0|Schnitzel|der Schnitzel
26757.001|Schnitzel|das Schnitzel
26759.0|Grünkern|Grünkern
26767.0|schleichen|schleichen
26771.0|Garage|die Garage
26780.0|Kruppstahl|Kruppstahl
26783.0|Rhein|der Rhein
26794.0|Rauch|der Rauch
26825.0|reiben|reiben
26827.0|Öl|das Öl
26832.0|Feuerwerk|das Feuerwerk
26834.0|Schützenverein|der Schützenverein
26841.0|Husch|Husch
26842.0|husch|husch
26860.0|Ampel|die Ampel
26903.0|verhüllen|verhüllen
26905.0|behaart|behaart
26907.0|N-Wort|das N-Wort
26928.0|verzichten|verzichten
26946.0|schwenken|schwenken
27038.0|Internet|das Internet
27040.0|anziehen|anziehen
27059.0|Will|Will
27070.0|sechzehn|sechzehn
27078.0|wovon|wovon
27093.0|Computer|der Computer
27112.0|Trümmerfeld|das Trümmerfeld
27114.0|zuschauen|zuschauen
27126.0|Meter|der Meter
27126.001|Meter|das Meter
27130.0|Kinderbett|das Kinderbett
27131.0|eingeschlossen|eingeschlossen
27193.0|ISDN|das ISDN
27206.0|erlegen|erlegen
27211.0|DSL|das DSL
27215.0|früher|früher
27239.0|Smalltalk|der Smalltalk
27239.001|Smalltalk|das Smalltalk
27247.0|Schwachkopf|der Schwachkopf
27250.0|Tab|der Tab
27432.0|Dopamin|das Dopamin
27433.0|Deepfake|der Deepfake
27433.001|Deepfake|das Deepfake
27467.0|Bergziege|die Bergziege
27476.0|Zerrspiegel|der Zerrspiegel
27484.0|Termite|die Termite
27488.0|universell|universell
27494.0|Omega|das Omega
27501.0|Dromedar|das Dromedar
27506.0|Na|Na
27510.0|sonnenklar|sonnenklar
27512.0|Holland|Holland
27517.0|Holländer|der Holländer
27520.0|holländisch|holländisch
27536.0|Pinguin|der Pinguin
27545.0|Insulin|das Insulin
27554.0|Stimmungstief|Stimmungstief
27557.0|totgeglaubt|totgeglaubt
27561.0|Staatsfeind|der Staatsfeind
27563.0|Holocaust|der Holocaust
27563.001|Holocaust|das Holocaust
27570.0|Vogelstrauß|der Vogelstrauß
27579.0|Dicke|die Dicke
27597.0|Reifen|der Reifen
27611.0|Fußvolk|das Fußvolk
27616.0|ausreiten|ausreiten
27658.0|Staubwedel|der Staubwedel
27665.0|Maulesel|der Maulesel
27671.0|Zaunpfahl|der Zaunpfahl
27674.0|Faustschlag|der Faustschlag
27676.0|Playback|Playback
27686.0|Teebeutel|der Teebeutel
27693.0|Schneeeule|Schneeeule
27701.0|Seeleute|Seeleute
27705.0|betäuben|betäuben
27709.0|Hinterlist|die Hinterlist
27712.0|hinderlich|hinderlich
27719.0|Tintenfisch|der Tintenfisch
27732.0|Aus|das Aus
27733.0|Zucker|der Zucker
