global                                                   |всемирный, мировой                                                                                                                                                  | ~ search of a file — глобальный поиск файла (поиск среди всех файлов)
influential                                              |влиятельный, важный, обладающий властью                                                                                                                             | 
metropolitan                                             |относящийся к столице или большому городу, столичный                                                                                                                | 
accomplishment                                           |исполнение, завершение                                                                                                                                              | Syn: fulfilment, execution достижение, успех Syn: achievement He wished Mr. Carden success in the ~ of his highly important mission — Он пожелал мистеру Кардену успеха в выполнении его чрезвычайно важной миссии It was a real ~ to defeat them — Нанести им поражение было действительно победой
royal                                                    |королевский, монарший, королевской крови                                                                                                                            | 
minimal                                                  |минимальный                                                                                                                                                         | 
scowl                                                    |смотреть сердито, бросать сердитый взгляд, хмуриться, хмурить брови                                                                                                 | The teacher ~ed at the children, making them afraid of him — Учитель так сердито посмотрел на детей, что напугал их He made no reply, but simply ~ed — Он не ответил, а только нахмурился
anonymous                                                |анонимный                                                                                                                                                           | 
BrE tumour = NAmE tumor                                  |опухоль                                                                                                                                                             | 
decorate                                                 |украшать                                                                                                                                                            | 
diary                                                    |дневник, ежедневник                                                                                                                                                 | 
sibling                                                  |родной брат или родная сестра                                                                                                                                       | 
spoon                                                    |ложка                                                                                                                                                               | 
midst                                                    |середина                                                                                                                                                            | Syn: middle
interact                                                 |взаимодействовать                                                                                                                                                   | 
soap                                                     |мыло, амер. разг. деньги (обычно идущие на взятку)                                                                                                                  | 
rival                                                    |соперник, конкурент                                                                                                                                                 | She has no ~s as a female rock singer — Она самая лучшая рок-певица
persist                                                  |упорствовать, настойчиво, упорно продолжать, продолжать существовать                                                                                                | he ~ed in his opinion — он упорно стоял на своём The tendency still ~s — Эта тенденция всё ещё сохраняется
elephant                                                 |слон                                                                                                                                                                | 
foster                                                   |поощрять, побуждать                                                                                                                                                 | Syn: encourage воспитывать, обучать, растить, проявлять родительскую заботу Syn: nurture
cheat                                                    |жульничать, мошенничать, (~ on) разг. изменять (супругу)                                                                                                            | 
heal                                                     |вылечивать, исцелять                                                                                                                                                | Syn: cure (~ over), (~ up) сделаться здоровым Time ~s — Время лечит
fever                                                    |жар, лихорадка                                                                                                                                                      | 
exploit                                                  |пользоваться, использовать, эксплуатировать                                                                                                                         | "to ~ smb's kindness — пользоваться /злоупотреблять/ чьей-л. добротой"
conservation                                             |охрана (природы), сохранение, защита                                                                                                                                | ~ of energy — физ. сохранение энергии
backyard                                                 |задний двор                                                                                                                                                         | 
charter                                                  |хартия, грамота, право, привилегия, сдача напрокат (траснпортного средства)                                                                                         | 
stove                                                    |кухонная плита, печь                                                                                                                                                | 
consent                                                  |согласие                                                                                                                                                            | Syn: agreement, compliance, permission Silence gives ~ — посл. Молчание - знак согласия
comprise                                                 |составлять, заключать в себе, содержать (not used in the progressive tenses)                                                                                        | Syn: consist of, include, compose, constitute About 7 percent of American military forces are ~ed of women — Около семи процентов личного состава американских вооружённых сил составляют женщины
alike                                                    |очень похожи, одинаковый, подобный, похожий                                                                                                                         | My sister and I do not look ~ — Я и моя сестра не похожи their size [character, colour] was perfectly ~ — их размер [характер, цвет] был абсолютно одинаков
placement                                                |размещение, расположение, расстановка, определение на должность                                                                                                     | 
dough                                                    |тесто, густая масса (напоминающая тесто по консистенции)                                                                                                            | 
grandchild                                               |внук, внучка                                                                                                                                                        | 
dam                                                      |дамба, плотина                                                                                                                                                      | 
outfit                                                   |снаряжение, полный комплект одежды, экипировка                                                                                                                      | camping ~ — туристское снаряжение She did not wear the same ~ two days running — Она никогда не носила одну и ту же одежду два дня подряд
workout                                                  |тренировка                                                                                                                                                          | Syn: training, coaching
preliminary                                              |подготовительное, предварительное мероприятие                                                                                                                       | The systematic teaching is a ~ to professional work — Систематическое обучение это подготовительный этап профессиональной деятельности
shy                                                      |застенчивый, робкий, стеснительный                                                                                                                                  | 
disabled                                                 |страдающий от увечья, болезни, неполноценный, нетрудоспособный                                                                                                      | ~ people — инвалиды
gross                                                    |1. общее количество; общая сумма                                                                                                                                    | 2. большой, крупный (не просто толстый, а самый настоящий жирдяй) The man was so ~ he could hardly get through the door — Мужчина был такой толстый, что едва мог протиснуться в дверь 3. грубый, вульгарный, пошлый His ~ remarks made us cringe — Его грязные замечания вызвали у нас отвращение
frontier                                                 |граница, кордон, рубеж                                                                                                                                              | Syn: border, boundary
disclose                                                 |выявлять, обнаруживать, открывать                                                                                                                                   | Syn: reveal The authorities finally ~ed the facts to the press — В конце концов власти обнародовали эти факты
custody                                                  |опекунство, арест, взятие под стражу                                                                                                                                | the children remained in the ~ of their father — дети остались на попечении отца to be in ~ — находиться под арестом
oak                                                      |дуб                                                                                                                                                                 | 
outline                                                  |обрисовать, наметить в общих чертах, очертание, контур, набросок                                                                                                    | She ~ed what I would be doing — Она рассказала мне вкратце, что я буду делать
attendance                                               |присутствие, посещение                                                                                                                                              | your ~ is requested — ваше присутствие обязательно
speculation                                              |размышление, обдумывание, предположение, догадка                                                                                                                    | There was ~ that a treaty would be signed — Ходили слухи о том, что будет подписан договор
uncover                                                  |снимать (крышку, покров) раскрывать                                                                                                                                 | The police have ~ed a plot — Полиция раскрыла заговор
behalf                                                   |в сочетаниях:                                                                                                                                                       | 1. in ~ of — ради, в пользу in my [his, her] ~ — в моих [его, её] интересах 2.: on ~ (of) — от лица, от имени (кого-л.) to speak on ~ of all progressive men and women — выступать от лица всех прогрессивных людей 3. in this /that/ ~ — по этому вопросу
shark                                                    |акула                                                                                                                                                               | 
worldwide                                                |всемирный, распространённый во всём мире                                                                                                                            | 
outsider                                                 |постороннее лицо, человек, не принадлежащий к данному кругу                                                                                                         | Few ~s have ever visited this tribe — За всё время только несколько человек из внешнего мира побывало в этом племени
stance                                                   |поза, положение                                                                                                                                                     | Syn: pose позиция, установка Syn: position, stand
compel                                                   |заставлять, вынуждать, принуждать                                                                                                                                   | You cannot ~ good work from unwilling students — Вытянуть хороший результат из ученика, который не хочет работать, невозможно
proclaim                                                 |провозглашать, объявлять                                                                                                                                            | Syn: declare to ~ the country a republic — провозглашать страну республикой
hike                                                     |длительная прогулка                                                                                                                                                 | They went on a long ~ — Они отправились на длительную прогулку
colorful = colourful                                     |красочный, яркий                                                                                                                                                    | The male birds are more ~ than the females
scent                                                    |(приятный) запах, аромат                                                                                                                                            | 
cease                                                    |переставать (делать что-л.), прекращать                                                                                                                             | Syn: stop, give up, leave off
inherit                                                  |наследовать, унаследовать                                                                                                                                           | Syn: succeed
shrink (shrank shrunk)                                   |уменьшать, сокращать                                                                                                                                                | My sweater ~ in the wash - От стирки мой свитер сел
wheat                                                    |пшеница                                                                                                                                                             | 
fierce                                                   |жестокий, лютый, свирепый                                                                                                                                           | 
envision                                                 |воображать (что-л.), рисовать в своём воображении                                                                                                                   | Syn: imagine
kingdom                                                  |королевство, царство, государство, рел. Царство Божие                                                                                                               | 
vocal                                                    |голосовой, вокальное произведение                                                                                                                                   | 
unfair                                                   |несправедливый, незаслуженный, неправильный, нечестный                                                                                                              | ~ dismissal — несправедливое увольнение ~ trial — несправедливый суд ~ trade practices — недобросовестные методы торговли
terrain                                                  |местность, территория, район                                                                                                                                        | ~ is used when you are describing the natural features of an area, for example if it is rough, flat, etc The truck bumped its way over the rough ~
deploy                                                   |развёртывание, развёртывать                                                                                                                                         | to ~ in extended order — развернуться в цепь
merit                                                    |заслуга                                                                                                                                                             | I want to get the job on ~
discount                                                 |скидка                                                                                                                                                              | to get a ~ — получить скидку to offer a ~ of 5 % — предлагать пятипроцентную скидку
invade                                                   |вторгаться, нападать, захватывать, занимать, оккупировать                                                                                                           | to ~ a country — вторгнуться в страну tourists ~ed the city — город наводнили /в город нахлынули/ туристы
hurricane                                                |ураган, тропический циклон                                                                                                                                          | the eye of a ~ — центр урагана
coup                                                     |государственный переворот                                                                                                                                           | military / army ~ — военный переворот, путч attempted ~ — попытка переворота
ambassador                                               |посол                                                                                                                                                               | appoint an ~ — назначить послом recall an ~ — отозвать посла
density                                                  |густота, плотность                                                                                                                                                  | population ~ — плотность населения housing ~ — плотность застройки
dip                                                      |макать, окунать                                                                                                                                                     | to ~ a pen into ink — обмакнуть перо в чернила
likewise                                                 |подобно, так же, таким же образом                                                                                                                                   | watch him and do ~ — смотри, как делает он, и делай так же
feather                                                  |перо (у птиц)                                                                                                                                                       | 
boast                                                    |хвастать(ся), кичиться                                                                                                                                              | proud ~ — бахвальство I do hate the way Bill ~s about his new car — Мне совершенно не нравится, как Билл хвастается своей новой машиной
sole                                                     |единственный, одиночный, подошва, ступня                                                                                                                            | ~ heir — единственный наследник
publicity                                                |гласность, публичность                                                                                                                                              | 
unfold                                                   |развертывать, раскрывать                                                                                                                                            | to ~ a map — развернуть карту
well-being                                               |здоровье                                                                                                                                                            | Syn: health (материальное) благосостояние, достаток
validity                                                 |действительность, юридическая сила                                                                                                                                  | to dispute the ~ of a document — оспаривать действительность документа
partial                                                  |частичный, неполный                                                                                                                                                 | ~ solution of the problem — частичное решение проблемы
weed                                                     |сорная трава, сорняк, водоросль                                                                                                                                     | 
compliance                                               |соответствие, согласие, податливость, покладистость, уступчивость                                                                                                   | in ~ with your wish [request] — согласно вашему желанию [вашей просьбе]
premise                                                  |исходное условие, предположение, допущение, предпосылка здание (с прилегающими пристройками и участком), владение                                                   | The policy is ~ed on the expectation that the public will be willing to accept it — Эта политика базируется на предположении, что общественность захочет принять её
deem                                                     |полагать, считать (книжн.)                                                                                                                                          | Syn: consider The president has authority to take actions he ~s appropriate — Президент имеет полномочия предпринимать те действия, которые он считает нужными.
parish                                                   |(церковный) приход                                                                                                                                                  | 
commodity                                                |предмет потребления, товар                                                                                                                                          | ~ exchange — товарная биржа
cemetery                                                 |кладбище                                                                                                                                                            | Syn: graveyard, churchyard
harassment                                               |оскорбление, притеснение                                                                                                                                            | Sexual ~ — сексуальные домогательства
deliberately                                             |преднамеренно, умышленно                                                                                                                                            | You are ~ misunderstanding me — вы умышленно не хотите меня понять to answer ~ — давать обдуманные ответы, отвечать обдуманно
fame                                                     |известность                                                                                                                                                         | international ~ — международная известность to achieve / attain / win ~ — достигать известности
likelihood                                               |вероятность                                                                                                                                                         | "Syn: probability There is every ~ that she'll come — Скорее всего, она придёт Little ~ — небольшая вероятность"
carrot                                                   |морковь                                                                                                                                                             | 
atop                                                     |наверху, сверху                                                                                                                                                     | a glass of beer with white foam ~ — стакан пива с белой пеной
toll                                                     |плата (за пользование дорогой)                                                                                                                                      | bridge ~ — мост с платным проездом жертвы The earthquake took a heavy ~ on several villages — В нескольких деревнях землетрясение унесло много жизней похоронный звон
rim                                                      |обод                                                                                                                                                                | 
worm                                                     |червяк, глист, гусеница                                                                                                                                             | 
surrender                                                |сдаваться, капитулировать                                                                                                                                           | 
concise                                                  |краткий, сжатый, лаконичный,                                                                                                                                        | 
treadmill                                                |тренажер (в спорт. зале)                                                                                                                                            | 
errand                                                   |поручение, задание, командировка                                                                                                                                    | 
handicap                                                 |физический или умственный недостаток (becoming old-fashioned, sometimes offensive) помеха, препятствие                                                              | In cases of severe mental ~, constant supervision is recommended — В случае серьёзного умственного расстройства рекомендуется постоянное наблюдение за больным She finds it a bit of a ~ to live without a phone — Она считает, что трудно жить без телефона
acute                                                    |сильный, резкий, крайний, критический, острый                                                                                                                       | I like how in the dark my sense of smell and hearing become so ~ — Мне нравится, каким острым становится у меня чувство обоняния и слух в темноте The war has aggravated an ~ economic crisis — Война усугубила острый экономический кризис
prey                                                     |жертва добыча, предмет охоты, ловли                                                                                                                                 | beast of ~ — хищное животное, хищник Homeless young people are easy ~ for drug-dealers — Бездомные молодые люди - лёгкая добыча для торговцев наркотиками
straw                                                    |солома, соломка                                                                                                                                                     | 
stubborn                                                 |упрямый                                                                                                                                                             | 
arbitrary                                                |произвольный, случайный                                                                                                                                             | Their whole scheme of interpretation is purely ~ — Вся их схема объяснения совершенно произвольна
astonish                                                 |изумлять, поражать, удивлять                                                                                                                                        | Syn: startle, stun, surprise, amaze
robust                                                   |крепкий, здоровый, сильный; твёрдый                                                                                                                                 | ~ young man — здоровый крепкий юноша ~ plastic — твёрдый пластик
avalanche                                                |лавина, обвал (снега, земли, льда в горах)                                                                                                                          | 
blizzard                                                 |снежная буря, буран, пурга                                                                                                                                          | 
notorious                                                |пользующийся дурной славой, печально известный, пресловутый                                                                                                         | Syn: infamous
reconcile                                                |мирить, примирить, улаживать (ссору, спор и т. п.), урегулировать (конфликт и т. п.) согласовывать, приводить в соответствие                                        | We are still trying to ~ the needs of the two groups — Мы все еще пытаемся согласовать нужды этих двух групп to ~ an ideal with reality — приводить идеал в соответствие с действительностью The people must ~ themselves to a reduced standard of living — Люди должны привыкнуть к тому, что уровень жизни снизился
boredom                                                  |скука, тоска                                                                                                                                                        | 
wimp                                                     |бесхарактерный человек, тряпка, слабак                                                                                                                              | 
conversely                                               |обратно; вспять, назад, наоборот                                                                                                                                    | You can add the fluid to the powder, or, ~, the powder to the fluid - Вы можете добавить житкость в порошок, или, наоборот, порошок в жидкость
shun                                                     |беречься, избегать, остерегаться                                                                                                                                    | Syn: avoid
bogus                                                    |поддельный, подложный, фальшивый                                                                                                                                    | Syn: counterfeit, false, fake
gauge                                                    |измерительный прибор мера, масштаб, размер, калибр                                                                                                                  | 
mitigate                                                 |смягчать, уменьшать (строгость, суровость, наказание)                                                                                                               | 
susceptible                                              |восприимчивый, поддающийся                                                                                                                                          | ~ to diseases — восприимчивый к болезням The diamond is not ~ of fusion even at a very high temperature — Алмаз не плавится даже при очень высокой температуре
outage                                                   |простой, перерыв в работе, бездействие                                                                                                                              | 
itinerary                                                |курс, маршрут                                                                                                                                                       | Syn: route
prune                                                    |чернослив обрезать, сокращать                                                                                                                                       | If you ~ the dead wood away, the tree has a better chance of growth — Если обрезать мёртвые ветви, дерево будет лучше расти to ~ the budget — урезать бюджет
eavesdrop                                                |подслушивать                                                                                                                                                        | 
solicit                                                  |просить, упрашивать, требовать, запрашивать приставать к мужчине на улице (о проститутках)                                                                          | 
cue                                                      |знак, сигнал                                                                                                                                                        | "~ for smth. / to do smth. — знак, сигнал к чему-л. Greg's arrival seemed to be the ~ for everyone to get up and start dancing — Казалось, все только и ждали появления Грега, чтобы подняться со своих мест и начать танцы"
expedite                                                 |поторапливать, ускорять                                                                                                                                             | Syn: speed up
feasible                                                 |реальный, выполнимый, осуществимый (о замысле, плане и т. п.)                                                                                                       | 
scissors                                                 |ножницы                                                                                                                                                             | 
gospel                                                   |Евангелие, благая весть                                                                                                                                             | ~ truth абсолютная, бесспорная истина
